图书目录,,,,,,,,
序号,学科方向,书名,课程级别,作者, 定价 ,书号,出版日期,出版单位
136,人工智能,人工智能与员工培训（新文科建设教材·人力资源管理系列）,初级,周红云, 49.00 ,9787302678922 ,2025/2/1,人民邮电出版社
137,人工智能,AIGC三维艺术设计（高等学校设计+人工智能（AI for Design）系列教材）,中级,王凌轩、孙坚、邓晰, 69.00 ,9787302678991 ,2025/1/1,人民邮电出版社
138,人工智能,AIGC影视特效（高等学校设计+人工智能（AI for Design）系列教材）,中级,宋鲁、甄晶莹、颜勇、卢俊, 79.00 ,9787302679752 ,2025/1/1,人民邮电出版社
139,人工智能,AIGC动画分镜设计（高等学校设计+人工智能（AI for Design）系列教材）,初级,邓晰、王志豪、贺俊波, 69.00 ,9787302679868 ,2025/1/1,人民邮电出版社
140,人工智能,AIGC动画场景设计（高等学校设计+人工智能（AI for Design）系列教材）,初级,唐杰晓、杨奥、邓晰, 69.00 ,9787302679875 ,2025/1/1,清华大学出版社
141,网络安全,软件安全实践（网络空间安全学科系列教材）,初级,彭国军、傅建明、赵磊、陈泽茂, 79.90 ,9787302680048 ,2025/1/1,清华大学出版社
142,网络安全,网络对抗演练（网络空间安全学科系列教材）,初级,严飞、张立强、何伊圣、陈治宏、杨庆华、李, 69.90 ,9787302680062 ,2025/3/1,人民邮电出版社
143,人工智能,人工智能通识,初级,王东、马少平, 49.00 ,9787302680147 ,2025/1/1,人民邮电出版社
144,人工智能,大学计算与人工智能（面向新工科专业建设计算机系列教材）,初级,桂小林, 69.80 ,9787302680680 ,2025/2/1,中国铁道出版社
145,人工智能,AIGC游戏策划（高等学校设计+人工智能（AI for Design）系列教材）,初级,何俊、牟堂娟、高凯, 99.00 ,9787302680840 ,2025/2/1,人民邮电出版社
146,网络安全,汇编语言与逆向技术（网络空间安全学科系列教材）,中级,王志、李旭昇、过辰楷、邓琮弋, 65.00 ,9787302681007 ,2025/2/1,清华大学出版社
147,网络安全,恶意代码分析实践（网络空间安全学科系列教材）,中级,肖新光、辛毅、叶麟、李柏松、彭国军, 79.00 ,9787302681014 ,2025/2/1,清华大学出版社
148,网络安全,数据安全与隐私计算基础（网络空间安全学科系列教材）,初级,刘哲理、吕思艺、李同、黄晏瑜, 59.90 ,9787302681038 ,2025/2/1,清华大学出版社
149,人工智能,AIGC字体设计（高等学校设计+人工智能（AI for Design）系列教材）,初级,闵媛媛、牟琳、李珏茹、冯琳、刘海杨, 69.00 ,9787302681540 ,2025/2/1,人民邮电出版社
150,人工智能,人工智能导论（高等学校设计+人工智能（AI for Design）系列教材）,初级,轩书科、姜亮、高明武、肖月宁、韩宝燕、荣, 79.00 ,9787302682714 ,2025/2/1,清华大学出版社
151,人工智能,Python与人工智能编程——基础与实验（微课视频版）（面向数字化时代高等学校计算机系列教材·大数据与人工智能）,店销书,张敏, 49.80 ,9787302682776 ,2025/2/1,人民邮电出版社
152,人工智能,机器视觉技术(HALCON版·微课视频版)（面向数字化时代高等学校计算机系列教材·大数据与人工智能）,初级,肖苏华、吴建毅、赖南英、林锐豪, 59.80 ,9787302682783 ,2025/4/1,人民邮电出版社
153,网络安全,勒索软件预防、检测与响应手册（网络空间安全丛书）,中级,[美] 罗杰·A. 格莱姆斯（Roger A. Grimes, 69.80 ,9787302682882 ,2025/4/1,人民邮电出版社
154,网络安全,网络安全（网络空间安全学科系列教材）,初级,陈晶、曹越、罗敏、崔竞松、洪晟, 59.00 ,9787302683025 ,2025/3/1,人民邮电出版社
155,网络安全,面向安全思维的程序设计基础（C语言版）（网络空间安全学科系列教材）,初级,罗敏、滕冲、王张宜、傅建明, 49.90 ,9787302683056 ,2025/4/1,人民邮电出版社
156,人工智能,人工智能数学基础,中级,陶玉婷、张燕, 59.80 ,9787302683629 ,2025/2/1,人民邮电出版社
157,人工智能,人工智能机器人基础 中级 下册,中级,闵海波、张建忠、吕远、张豆, 50.00 ,9787302683650 ,2025/3/1,中国铁道出版社
158,人工智能,人工智能与创意设计,初级,卢文军, 49.00 ,9787302684251 ,2025/2/1,人民邮电出版社
159,人工智能,人工智能与数字素养,初级,陈彧、倪彤、李枘璟、周波, 49.00 ,9787302684268 ,2025/2/1,人民邮电出版社
